Commodity and marketing year 1/,Years,"Planted acreage
Million acres","Harvested for grain
Million acres","Production
Million bushels","Yield per harvested acre
Bushels per acre","Weighted-average farm price
Million bushels 2/","Loan rate
dollars per bushel",
,2007/08,4.02,3.50,210.11,60.00,4.02,1.85,
,2008/09,4.24,3.78,239.07,63.30,5.37,1.85,
,2009/10,3.57,3.11,226.60,72.80,4.66,1.85,
,2010/11,2.87,2.47,180.24,73.10,3.86,1.95,
,2011/12,2.56,2.24,154.79,69.10,5.35,1.95,
,2012/13,3.66,3.27,218.99,66.90,6.43,1.95,
,2013/14,3.53,3.04,216.75,71.30,6.06,1.95,
,2014/15,3.03,2.50,181.54,72.70,5.30,1.95,
,2015/16,3.58,3.16,218.19,69.10,5.52,1.95,
,2016/17,3.06,2.57,199.91,77.90,4.96,1.95,
,2017/18,2.49,1.96,143.26,73.00,4.47,1.95,
,2018/19,2.49,1.95,151.27,77.50,4.62,1.95,
,2019/20,2.77,2.22,172.41,77.70,4.69,2.50,
,2020/21,2.73,2.21,170.71,77.10,4.75,2.50,
,2021/22,2.71,1.99,120.59,60.50,5.31,2.50,
,2022/23,2.93,2.43,173.92,71.72,7.40,2.50,
,2023/24,3.10,2.56,185.04,72.42,7.40,2.50,
